gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,ghs_count,ghs_sum,ghs_mean
"2",Alawathugoda,"2109025","2","21","2109",1094,6494,5.93601462522852
"291",Hanthna Pedesa,"2130220","2","21","2130",677,3677,5.43131462333826
"304",Maligathenna,"2130280","2","21","2130",1246,4946,3.96950240770465
"13580",Pahala Millewa North,"1309010","1","13","1309",2598,4698,1.80831408775981
"13638",Ethagama East,"1321435","1","13","1321",676,4776,7.06508875739645
"3",Arambepola,"2109040","2","21","2109",726,3026,4.16804407713499
"4281",Muthugala,"7210060","7","72","7210",5288,5288,1
"2597",Sainthamaruthu 16,"5225085","5","52","5225",127,8827,69.503937007874
"292",Heeressagala,"2130215","2","21","2130",1866,9566,5.12647374062165
"4",Balakaduwa,"2109030","2","21","2109",270,270,1
"303",Mahaweli Uyana,"2130040","2","21","2130",354,21854,61.7344632768362
"2026",Wijayabahu Kanda,"2303315","2","23","2303",998,1098,1.1002004008016
"327",Ulpathakumbura,"2130265","2","21","2130",1054,6654,6.31309297912714
"331",Wattaranthenna,"2130025","2","21","2130",605,21005,34.7190082644628
"337",Aluth Pallekele,"2127390","2","21","2127",1867,8967,4.80289234065345
"338",Ambakote,"2127400","2","21","2127",2461,13161,5.34782608695652
"2911",Iruthayapuram East,"5118095","5","51","5118",223,20523,92.0313901345291
"358",Galapitaambe,"2127215","2","21","2127",301,801,2.66112956810631
"1083",Wattappola,"2139205","2","21","2139",451,451,1
"360",Galpihilla,"2127025","2","21","2127",583,1683,2.88679245283019
"362",Gonawala South,"2127260","2","21","2127",832,10032,12.0576923076923
"363",Hapuwala,"2127210","2","21","2127",288,288,1
"3988",Thirappane Kadaweediya,"7151090","7","71","7151",411,511,1.24330900243309
"364",Hathamuna,"2127220","2","21","2127",448,1948,4.34821428571429
"367",Hurikaduwa Madige,"2127240","2","21","2127",262,462,1.76335877862595
"379",Kundasale South,"2127360","2","21","2127",3471,55171,15.8948429847306
"2434",Pandiruppu 01B,"5221035","5","52","5221",151,6951,46.0331125827815
"385",Mahawatta East,"2127310","2","21","2127",108,408,3.77777777777778
"418",Bambaragahadeniya,"2124440","2","21","2124",2358,2958,1.25445292620865
"5",Bulugohothenna,"2109095","2","21","2109",409,9409,23.0048899755501
"397",Pallegama,"2127040","2","21","2127",440,1040,2.36363636363636
"3006",Eruvil East,"5136110","5","51","5136",570,21770,38.1929824561403
"400",Pilawala North,"2127135","2","21","2127",429,929,2.16550116550117
"1979",Labukele,"2303375","2","23","2303",4579,26179,5.71718715876829
"401",Pilawala South,"2127305","2","21","2127",258,1258,4.87596899224806
"7082",Ahathimurippu,"4215050","4","42","4215",34021,34221,1.00587872196584
"421",Bulathwatta,"2124030","2","21","2124",1701,1701,1
"12511",Samanabedda,"1230665","1","12","1230",1564,8764,5.60358056265985
"428",Embalagama,"2124195","2","21","2124",273,273,1
"461",Meegahamaditta,"2124310","2","21","2124",1158,1158,1
"464",Moragahamula,"2124410","2","21","2124",625,725,1.16
"431",Galabadawatta,"2124035","2","21","2124",506,506,1
"6",Deegala,"2109135","2","21","2109",686,686,1
"433",Galkotuwa,"2124045","2","21","2124",434,434,1
"434",Gangasirigama,"2124220","2","21","2124",660,1260,1.90909090909091
"449",Kurukohogama,"2124265","2","21","2124",573,673,1.17452006980803
"436",Giddawa-Waradiwela,"2124115","2","21","2124",404,404,1
"2530",Ninthavur 21,"5230105","5","52","5230",97,8797,90.6907216494845
"7",Delgasgoda,"2109045","2","21","2109",1021,1121,1.09794319294809
"101",Ethgala West,"2154120","2","21","2154",201,201,1
"442",Hijrapura,"2124350","2","21","2124",171,1471,8.60233918128655
"9",Dippitiya,"2109050","2","21","2109",862,862,1
"439",Hakmana,"2124085","2","21","2124",6534,6934,1.06121824303642
"7920",Gonagamuwa,"9227145","9","92","9227",2546,3546,1.39277297721917
"444",Kandekumbura,"2124170","2","21","2124",3958,4758,1.20212228398181
"447",Kiribattalawa,"2124270","2","21","2124",665,665,1
"7243",Aninchiyankulam,"4403020","4","44","4403",3511,3511,1
"450",Maberiyathenna,"2124360","2","21","2124",5738,23838,4.15440920181248
"485",Senarathwela,"2124375","2","21","2124",525,1125,2.14285714285714
"7548",Holombuwa,"9215165","9","92","9215",1458,1658,1.13717421124828
"12506",Putupagala,"1230340","1","12","1230",1109,6209,5.59873760144274
"502",Weliketiya,"2124135","2","21","2124",361,361,1
"2073",Nagasena,"2312255","2","23","2312",5377,16877,3.13873907383299
"509",Ambagolla,"2121085","2","21","2121",1596,1796,1.12531328320802
"805",Galagedara Madige,"2103120","2","21","2103",85,4385,51.5882352941176
"11485",Hambegamuwa,"8230020","8","82","8230",118350,120750,1.02027883396705
"512",Bembiya,"2121240","2","21","2121",21424,33124,1.54611650485437
"10",Dodangolla,"2109115","2","21","2109",248,14848,59.8709677419355
"138",Bogahakanda,"2133400","2","21","2133",366,366,1
"513",Bulathwelkandura,"2121175","2","21","2121",4525,6925,1.53038674033149
"8360",Halkandaliya,"9136080","9","91","9136",2414,3014,1.24855012427506
"1061",Pitawalawatta,"2139550","2","21","2139",293,3693,12.6040955631399
"518",Dungolla,"2121010","2","21","2121",5120,5120,1
"542",Thotillagas Ella,"2121015","2","21","2121",2664,2664,1
"164",Kumburegedara,"2133415","2","21","2133",179,1079,6.02793296089385
"520",Gurulupotha,"2121160","2","21","2121",10248,11248,1.0975800156128
"11",Dunuvila North,"2109145","2","21","2109",1269,1569,1.23640661938534
"522",Hasalaka,"2121135","2","21","2121",3496,3496,1
"8096",Kolambage Ara,"9148030","9","91","9148",4607,12407,2.69307575428696
"2423",Kalmunai  01E,"5221120","5","52","5221",145,11645,80.3103448275862
"528",Kolonyaya,"2121235","2","21","2121",7351,7551,1.02720718269623
"7922",Jayavinda Gama,"9227045","9","92","9227",5321,5721,1.07517383950385
"529",Lunumadalaketiya,"2121190","2","21","2121",7412,7512,1.01349163518618
"9953",Kaluwagahayaya,"3321035","3","33","3321",1527,2727,1.78585461689587
"2827",Kattankudy Division 2 North,"5124020","5","51","5124",303,28303,93.4092409240924
"559",Hathale,"2115050","2","21","2115",4583,6983,1.52367444905084
"534",Minipe,"2121230","2","21","2121",2192,2992,1.36496350364964
"12500",Pelpita,"1230325","1","12","1230",872,872,1
"2828",Kattankudy Division 3,"5124040","5","51","5124",28,2428,86.7142857142857
"7923",Kabulumulla,"9227015","9","92","9227",4520,6520,1.44247787610619
"537",Pallegaladebokka,"2121045","2","21","2121",6846,6846,1
"535",Morayaya,"2121185","2","21","2121",7190,8090,1.12517385257302
"8714",Mahapitiya,"3106045","3","31","3106",1504,4804,3.19414893617021
"2627",Sammanthurai 07,"5218080","5","52","5218",37,3237,87.4864864864865
"538",Pallewatta,"2121140","2","21","2121",2296,3996,1.7404181184669
"7345",Pavakkulam South Bank - Track 07,"4306025","4","43","4306",5213,5213,1
"9532",Dammulla West,"3330065","3","33","3330",813,8913,10.9630996309963
"539",Palugolla,"2121020","2","21","2121",3971,3971,1
"7331",Acres 20 - 40 - 60,"4306035","4","43","4306",2499,2599,1.04001600640256
"12",Dunuvila South,"2109150","2","21","2109",1210,1310,1.08264462809917
"2829",Kattankudy Division 3 East,"5124035","5","51","5124",111,9711,87.4864864864865
"541",Thorapitiya,"2121120","2","21","2121",2375,2475,1.0421052631579
"9036",Gammeddegoda East,"3136435","3","31","3136",37,3637,98.2972972972973
"2318",Nawagampura,"5215030","5","52","5215",3460,84260,24.3526011560694
"13",Hureegolla,"2109080","2","21","2109",429,4729,11.02331002331
"181",Polwatta,"2133370","2","21","2133",459,17059,37.1655773420479
"9037",Ganegoda,"3136415","3","31","3136",770,6970,9.05194805194805
"4460",Pahala Kiniyama,"6142035","6","61","6142",4062,4062,1
"5329",Hettigama,"6145195","6","61","6145",1256,1256,1
"12533",Wedagama,"1230415","1","12","1230",1889,4889,2.58814187400741
"544",Udattawa,"2121055","2","21","2121",6902,6902,1
"551",Welgala,"2121110","2","21","2121",2449,2549,1.04083299305839
"560",Kelebokka,"2115005","2","21","2115",13169,19169,1.45561546055129
"5333",Ihala Gomugomuwa,"6145305","6","61","6145",1413,1413,1
"10226",Boraluketiya,"3233045","3","32","3233",689,789,1.14513788098694
"9616",Thammennawa,"3312015","3","33","3312",16399,22299,1.35977803524605
"7925",Kirikohuthenna,"9227095","9","92","9227",3626,3626,1
"4401",Mahakeliya,"6149025","6","61","6149",1985,3085,1.55415617128464
"561",Kosgama,"2115020","2","21","2115",7904,11904,1.50607287449393
"571",Balanthota South,"2157100","2","21","2157",903,1103,1.22148394241418
"562",Madulkele,"2115045","2","21","2115",4223,8723,2.06559318020365
"5282",Kandegedara,"6148140","6","61","6148",1324,2224,1.6797583081571
"10236",Kirinda Mangin Ihala South,"3233090","3","32","3233",1044,2044,1.95785440613027
